'y-axis saved as y
'x,PKT-3-104-1_2MnO2_Y2O3_FlowO2_650_72.raw,Diff,Bkg,Ycalc
17.0094137,218,15.2371669,200.460116,202.762833
17.029849,213,11.5604639,199.336959,201.439536
17.0502843,207,6.83633691,198.228681,200.163663
17.0707196,187,-11.9248692,197.135156,198.924869
17.0911549,228,30.287577,196.056261,197.712423
17.1115902,221,24.490521,194.991871,196.509479
17.1320256,211,15.7139255,193.941862,195.286075
17.1524609,193,-1.02695844,192.906113,194.026958
17.1728962,186,-6.80717777,191.8845,192.807178
17.1933315,196,4.28668026,190.876902,191.71332
17.2137668,210,19.3285365,189.883197,190.671463
17.2342021,211,21.3497813,188.903265,189.650219
17.2546375,204,15.3528602,187.936985,188.64714
17.2750728,199,11.3384183,186.984238,187.661582
17.2955081,206,19.3063509,186.044904,186.693649
17.3159434,197,11.2556092,185.118866,185.744391
17.3363787,173,-11.8130082,184.206005,184.813008
17.356814,196,12.105968,183.306203,183.894032
17.3772494,193,10.0130071,182.419343,182.986993
17.3976847,194,11.906306,181.54531,182.093694
17.41812,200,18.7858522,180.683986,181.214148
17.4385553,193,12.6525073,179.835257,180.347493
17.4589906,188,8.50826327,178.999008,179.491737
17.4794259,212,33.3570522,178.175125,178.642948
17.4998613,211,33.1996955,177.363494,177.800304
17.5202966,192,15.0246602,176.564001,176.97534
17.5407319,188,11.8239207,175.776534,176.176079
17.5611672,181,5.60711305,175.000982,175.392887
17.5816025,179,4.37778978,174.237231,174.62221
17.6020378,181,7.13644264,173.485172,173.863557
17.6224732,213,39.8835279,172.744694,173.116472
17.6429085,188,15.6199431,172.015687,172.380057
17.6633438,196,24.3478723,171.298041,171.652128
17.6837791,175,4.07183854,170.591648,170.928161
17.7042144,198,27.7940298,169.8964,170.20597
17.7246498,196,26.5057487,169.212188,169.494251
17.7450851,203,34.2016409,168.538905,168.798359
17.7655204,193,24.8831981,167.876446,168.116802
17.7859557,186,18.5388735,167.224702,167.461126
17.806391,201,34.1789022,166.58357,166.821098
17.8268263,170,3.80780063,165.952944,166.192199
17.8472617,204,38.4259655,165.33272,165.574035
17.867697,174,9.03348507,164.722793,164.966515
17.8881323,199,34.6304426,164.12306,164.369557
17.9085676,198,34.2169183,163.533418,163.783082
17.9290029,188,24.7929887,162.953766,163.207011
17.9494382,171,8.35872691,162.384,162.641273
17.9698736,175,12.9142015,161.824021,162.085798
17.9903089,178,16.4594766,161.273727,161.540523
18.0107442,209,47.994611,160.733018,161.005389
18.0311795,180,19.5196581,160.201795,160.480342
18.0516148,198,38.0346659,159.679958,159.965334
18.0720501,182,22.5396779,159.167409,159.460322
18.0924855,189,30.0347354,158.66405,158.965265
18.1129208,182,23.5198832,158.169783,158.480117
18.1333561,171,12.9951864,157.684513,158.004814
18.1537914,194,36.4607874,157.208141,157.539213
18.1742267,171,13.9170155,156.740573,157.082985
18.194662,181,24.364146,156.281713,156.635854
18.2150974,157,0.801210862,155.831467,156.198789
18.2355327,187,31.2265683,155.38974,155.773432
18.255968,179,23.6411653,154.956438,155.358835
18.2764033,191,36.0453047,154.531469,154.954695
18.2968386,167,12.4388234,154.11474,154.561177
18.3172739,197,42.8214872,153.706159,154.178513
18.3377093,175,21.1930255,153.305634,153.806974
18.3581446,163,9.55314518,152.913074,153.446855
18.3785799,165,11.9015761,152.52839,153.098424
18.3990152,186,33.2382172,152.15149,152.761783
18.4194505,160,7.56363026,151.782286,152.43637
18.4398858,176,23.8800724,151.420689,152.119928
18.4603212,185,33.189441,151.06661,151.810559
18.4807565,209,57.48188,150.719962,151.51812
18.5011918,208,56.7401179,150.380657,151.259882
18.5216271,178,26.9713709,150.048609,151.028629
18.5420624,189,38.1765061,149.723732,150.823494
18.5624977,178,27.3510024,149.405939,150.648998
