'y-axis saved as y
'x,PKT-3-101-2_2MnO2_Y2O3_6NaCl_FlowO2_650_24.raw,Diff,Ycalc,Bkg
16.3963542,355,-26.2828362,381.282836,372.229547
16.4167895,353,-26.1708558,379.170856,370.301787
16.4372248,377,-0.130403972,377.130404,368.392694
16.4576601,366,-9.17826323,375.178263,366.502137
16.4780954,401,27.6834491,373.316551,364.629985
16.4985307,354,-17.5493903,371.54939,362.776106
16.5189661,363,-6.892462,369.892462,360.94037
16.5394014,383,14.6238262,368.376174,359.122647
16.5598367,346,-21.0571362,367.057136,357.322808
16.580272,372,5.96003242,366.039968,355.540722
16.6007073,365,-0.509008326,365.509008,353.776262
16.6211426,340,-25.7737586,365.773759,352.029299
16.641578,353,-14.3471496,367.34715,350.299704
16.6620133,335,-35.9869945,370.986995,348.58735
16.6824486,336,-41.385727,377.385727,346.89211
16.7028839,362,-23.8674693,385.867469,345.213857
16.7233192,366,-26.5276553,392.527655,343.552464
16.7437545,395,3.00598747,391.994013,341.907806
16.7641899,381,-2.81831169,383.818312,340.279757
16.7846252,363,-9.42854877,372.428549,338.668191
16.8050605,332,-28.9424768,360.942477,337.072984
16.8254958,364,12.1123028,351.887697,335.494012
16.8459311,366,20.2218478,345.778152,333.93115
16.8663664,362,20.4036364,341.596364,332.384275
16.8868018,400,61.5546158,338.445384,330.853265
16.9072371,333,-2.85328949,335.853289,329.337996
16.9276724,349,15.4109256,333.589074,327.838346
16.9481077,377,45.4668484,331.533152,326.354194
16.968543,377,47.3812522,329.618748,324.885418
16.9889783,332,4.19376406,327.806236,323.431897
17.0094137,363,36.9282894,326.071711,321.993512
17.029849,338,13.6001812,324.399819,320.570141
17.0502843,356,33.2214082,322.778592,319.161665
17.0707196,337,15.8001597,321.19984,317.767966
17.0911549,351,31.3421699,319.65783,316.388924
17.1115902,359,40.851702,318.148298,315.024421
17.1320256,348,31.3320072,316.667993,313.67434
17.1524609,336,20.7856161,315.214384,312.338563
17.1728962,340,26.2145349,313.785465,311.016974
