'y-axis saved as y
'x,PKT-3-112-1_NaMn2O4_YOCl_650_24_O2.raw,Diff,Ycalc,Bkg
15.5380709,547,-5.45225003,552.45225,341.180696
15.5585062,546,-0.616140983,546.616141,338.041068
15.5789415,533,-1.58635552,534.586356,334.957042
15.5993768,559,41.0037456,517.996254,331.928054
15.6198121,551,51.8918871,499.108113,328.953536
15.6402474,515,34.8754951,480.124505,326.032922
15.6606828,499,36.2630945,462.736905,323.165641
15.6811181,474,25.999946,448.000054,320.351125
15.7015534,467,30.5912647,436.408735,317.588801
15.7219887,448,20.030432,427.969568,314.878099
15.742424,433,10.8813569,422.118643,312.218445
15.7628593,440,22.4284091,417.571591,309.609269
15.7832947,375,-37.5527608,412.552761,307.049996
15.80373,420,14.286608,405.713392,304.540053
15.8241653,401,3.99474966,397.00525,302.078866
15.8446006,437,49.4899961,387.510004,299.665863
15.8650359,392,13.4102687,378.589731,297.30047
15.8854712,392,20.7820833,371.217917,294.982113
15.9059066,397,31.2471669,365.752833,292.710219
15.9263419,422,59.8753636,362.124636,290.484217
15.9467772,405,44.8535588,360.146441,288.303534
15.9672125,373,13.3022079,359.697792,286.167598
15.9876478,384,23.2173743,360.782626,284.075839
16.0080831,344,-19.5447779,363.544778,282.027688
16.0285185,373,4.70878992,368.29121,280.022575
16.0489538,396,20.4562355,375.543765,278.059933
16.0693891,387,0.898122397,386.101878,276.139194
16.0898244,396,-5.06877575,401.068776,274.259793
16.1102597,455,33.0404025,421.959597,272.421165
16.130695,479,28.0523073,450.947693,270.622749
16.1511304,463,-27.7138555,490.713856,268.863981
16.1715657,487,-56.61602,543.61602,267.144303
16.192001,572,-37.6952621,609.695262,265.463157
16.2124363,571,-111.98847,682.98847,263.819985
16.2328716,681,-67.7211733,748.721173,262.214233
16.2533069,689,-99.2220589,788.222059,260.645348
16.2737423,748,-44.7140018,792.714002,259.11278
16.2941776,708,-63.1061877,771.106188,257.61598
16.3146129,724,-19.125077,743.125077,256.1544
16.3350482,720,-9.63329546,729.633295,254.727497
16.3554835,699,-47.4185427,746.418543,253.334728
16.3759188,760,-42.5924604,802.59246,251.975554
16.3963542,886,-15.9475354,901.947535,250.649437
16.4167895,1010,-31.0878092,1041.08781,249.355842
16.4372248,1190,-11.1157133,1201.11571,248.094237
16.4576601,1342,2.12334876,1339.87665,246.864093
16.4780954,1418,14.4935983,1403.5064,245.664881
16.4985307,1419,57.1018037,1361.8982,244.496078
16.5189661,1264,33.5199193,1230.48008,243.357163
16.5394014,1103,49.7405795,1053.25942,242.247616
16.5598367,839,-36.713393,875.713393,241.166922
16.580272,719,-7.71630132,726.716301,240.114569
16.6007073,596,-18.2145064,614.214506,239.090046
16.6211426,539,5.72159102,533.278409,238.092847
16.641578,464,-11.5822332,475.582233,237.122469
16.6620133,428,-5.97321836,433.973218,236.178412
16.6824486,386,-17.3000315,403.300031,235.260177
