'y-axis saved as y
'x,PKT-3-105-2_Y2O3_2BMMnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
12.6362559,1430,80.9208966,1348.99789,1349.0791
12.6566912,1421,79.5520133,1341.36563,1341.44799
12.6771265,1480,146.14911,1333.76738,1333.85089
12.6975618,1402,75.7121793,1326.20312,1326.28782
12.7179971,1452,133.241213,1318.67288,1318.75879
12.7384325,1395,83.7362061,1311.17665,1311.26379
12.7588678,1314,10.1971554,1303.71443,1303.80284
12.7793031,1387,90.6240592,1296.28624,1296.37594
12.7997384,1380,91.0169163,1288.89206,1288.98308
12.8201737,1374,92.3757231,1281.53189,1281.62428
12.840609,1295,20.7004639,1274.20574,1274.29954
12.8610444,1302,34.9910945,1266.91359,1267.00891
12.8814797,1260,0.247509001,1259.65543,1259.75249
12.901915,1388,135.469461,1252.43126,1252.53054
12.9223503,1361,115.656385,1245.24107,1245.34362
12.9427856,1275,36.8071453,1238.08483,1238.19285
12.9632209,1212,-19.0804982,1230.96255,1231.0805
12.9836563,1275,50.9900003,1223.87419,1224.01
13.0040916,1300,83.0231344,1216.81975,1216.97687
13.0245269,1228,18.0350471,1209.7992,1209.96495
13.0449622,1190,-12.9815888,1202.81253,1202.98159
13.0653975,1260,63.9684862,1195.85971,1196.03151
13.0858328,1206,16.8846882,1188.94072,1189.11531
13.1062682,1205,22.7669985,1182.05552,1182.233
13.1267035,1241,65.6153795,1175.20411,1175.38462
13.1471388,1195,26.4297009,1168.38644,1168.5703
13.1675741,1229,67.2096462,1161.60248,1161.79035
13.1880094,1221,65.9545093,1154.85221,1155.04549
13.2084447,1120,-28.3373368,1148.1356,1148.33734
13.2288801,1070,-71.6700556,1141.4526,1141.67006
13.2493154,1120,-15.0536728,1134.80319,1135.05367
13.2697507,1142,13.5016374,1128.18732,1128.49836
13.290186,1059,-62.9802795,1121.60496,1121.98028
13.3106213,1095,-20.453336,1115.05607,1115.45334
13.3310566,1139,30.0539272,1108.54061,1108.94607
13.351492,1076,-26.4714777,1102.05853,1102.47148
13.3719273,1043,-53.0304265,1095.6098,1096.03043
13.3923626,1123,33.3771109,1089.19436,1089.62289
13.4127979,1004,-79.2488278,1082.81217,1083.24883
13.4332332,1024,-52.9082039,1076.46319,1076.9082
13.4536685,1099,28.3990222,1070.14736,1070.60098
13.4741039,1043,-21.3271094,1063.86464,1064.32711
13.4945392,1004,-54.0865576,1057.61497,1058.08656
13.5149745,1022,-29.8792807,1051.3983,1051.87928
13.5354098,1008,-37.7052364,1045.21459,1045.70524
13.5558451,1006,-33.5643818,1039.06377,1039.56438
13.5762804,1045,11.5433267,1032.94579,1033.45667
13.5967158,1025,-2.38206698,1026.86059,1027.38207
13.6171511,1052,30.6594816,1020.80811,1021.34052
13.6375864,903,-112.331983,1014.7883,1015.33198
13.6580217,984,-25.3564148,1008.8011,1009.35641
13.678457,938,-65.4137693,1002.84644,1003.41377
13.6988923,923,-74.5040004,996.924263,997.504
13.7193277,952,-39.6270628,991.034505,991.627063
13.739763,911,-74.7829139,985.177102,985.782914
13.7601983,957,-22.9715257,979.351989,979.971526
13.7806336,963,-11.192914,973.559099,974.192914
13.8010689,935,-33.4471898,967.798365,968.44719
13.8215042,876,-86.7346525,962.069719,962.734653
13.8419396,853,-104.055995,956.373091,957.055995
13.8623749,914,-37.4128328,950.708412,951.412833
13.8828102,921,-24.8093155,945.075611,945.809316
13.9032455,884,-56.2555327,939.474615,940.255533
13.9236808,902,-32.7621704,933.905351,934.76217
13.9441161,842,-87.305984,928.367747,929.305984
13.9645515,892,-31.8401703,922.861726,923.84017
13.9849868,897,-21.3928301,917.387214,918.39283
14.0054221,852,-60.9762737,911.944134,912.976274
14.0258574,844,-63.5918911,906.532409,907.591891
14.0462927,845,-57.2398727,901.151962,902.239873
14.066728,854,-42.9202134,895.802711,896.920213
14.0871634,861,-30.6328975,890.48458,891.632898
14.1075987,829,-57.3779132,885.197486,886.377913
14.128034,827,-54.1552527,879.941348,881.155253
14.1484693,796,-79.9649128,874.716085,875.964913
14.1689046,790,-80.806895,869.521614,870.806895
14.1893399,771,-94.6812068,864.35785,865.681207
14.2097753,770,-90.5878614,859.22471,860.587861
14.2302106,736,-119.526879,854.12211,855.526879
14.2506459,829,-21.4982871,849.049962,850.498287
14.2710812,746,-99.5021214,844.00818,845.502121
14.2915165,739,-101.538427,838.996678,840.538427
14.3119518,755,-80.6072584,834.015368,835.607258
14.3323872,752,-78.708682,829.064161,830.708682
14.3528225,687,-138.842776,824.142968,825.842776
14.3732578,752,-69.0096331,819.2517,821.009633
14.3936931,733,-83.20936,814.390265,816.20936
14.4141284,765,-46.4420811,809.558574,811.442081
14.4345637,734,-72.7079394,804.756533,806.707939
14.4549991,728,-74.0070989,799.984052,802.007099
14.4754344,758,-39.339747,795.241037,797.339747
14.4958697,681,-111.706097,790.527395,792.706097
14.516305,732,-56.1063919,785.843032,788.106392
14.5367403,660,-123.540907,781.187854,783.540907
14.5571756,715,-64.0099549,776.561765,779.009955
14.577611,733,-41.5138895,771.964669,774.513889
14.5980463,656,-114.053111,767.396472,770.053111
14.6184816,725,-40.6280745,762.857075,765.628075
14.6389169,616,-145.239292,758.346382,761.239292
14.6593522,716,-40.8873473,753.864296,756.887347
14.6797875,686,-66.5728985,749.410717,752.572898
14.7002229,667,-81.2966945,744.985549,748.296694
14.7206582,659,-85.0595852,740.58869,744.059585
14.7410935,722,-17.8625373,736.220043,739.862537
14.7615288,660,-75.7066521,731.879506,735.706652
14.7819641,668,-63.5931864,727.566981,731.593186
14.8023994,666,-61.5235777,723.282365,727.523578
14.8228348,669,-54.4994737,719.025557,723.499474
14.8432701,621,-98.5227678,714.796456,719.522768
14.8637054,695,-20.5956422,710.59496,715.595642
