Scan No,Y2O3LVol,Y2O3LVolerr,Y2O3LVolf,Y2O3LVolferr,Y2O3e0
264,26.639800000,18.352410000,37.242680000,25.656840000,0.000020000
265,26.916050000,18.920530000,37.628870000,26.451070000,0.000020000
266,27.028700000,19.329960000,37.786360000,27.023460000,0.000030000
267,27.946670000,20.648710000,39.069690000,28.867080000,0.000050000
268,28.072960000,21.013900000,39.246240000,29.377620000,0.000050000
269,28.270230000,21.450230000,39.522030000,29.987610000,0.000050000
270,27.541710000,20.621780000,38.503560000,28.829430000,0.000010000
271,27.714350000,21.038620000,38.744900000,29.412170000,0.000010000
272,28.954860000,22.913930000,40.479150000,32.033880000,0.000050000
273,29.023240000,23.239950000,40.574750000,32.489650000,0.000050000
274,28.898150000,23.257130000,40.399860000,32.513670000,0.000050000
275,30.489940000,25.944700000,42.625200000,36.270920000,0.000090000
276,30.106050000,25.411690000,42.088530000,35.525770000,0.000070000
277,29.763130000,24.980810000,41.609120000,34.923390000,0.000050000
278,30.550700000,26.590700000,42.710150000,37.174030000,0.000080000
279,31.041740000,27.501240000,43.396620000,38.446970000,0.000080000
280,30.675930000,27.002270000,42.885220000,37.749410000,0.000070000
281,30.771800000,27.370820000,43.019240000,38.264650000,0.000070000
282,31.458870000,28.671200000,43.979770000,40.082590000,0.000070000
283,31.437700000,28.811450000,43.950180000,40.278650000,0.000070000
284,31.670400000,29.395220000,44.275500000,41.094780000,0.000070000
285,31.340720000,28.961450000,43.814610000,40.488360000,0.000060000
286,30.431490000,27.487510000,42.543490000,38.427780000,0.000030000
287,30.953830000,28.499330000,43.273730000,39.842310000,0.000040000
288,30.762030000,28.267840000,43.005590000,39.518690000,0.000030000
289,31.049600000,28.928010000,43.407610000,40.441620000,0.000040000
290,30.867160000,28.739730000,43.152560000,40.178390000,0.000030000
291,31.226350000,29.457410000,43.654710000,41.181710000,0.000030000
292,31.639840000,30.346620000,44.232770000,42.424840000,0.000040000
293,31.604860000,30.442200000,44.183870000,42.558460000,0.000040000
294,31.880180000,31.192560000,44.568760000,43.607470000,0.000040000
295,31.863090000,31.233180000,44.544880000,43.664260000,0.000040000
296,32.121430000,31.864770000,44.906030000,44.547230000,0.000040000
297,32.227900000,32.159450000,45.054890000,44.959190000,0.000040000
298,32.174810000,32.155450000,44.980660000,44.953610000,0.000040000
