Scan Number,Temperature,Time,P3lpa,P3lpb,P3lpc,P3beta,P3Na,P3Mn,P3O
375,649.4,124.6666667,5.081743863,2.934662406,5.888787973,106.7523688,0.13892,0.62126,0.64187
376,649.8,125,5.080881015,2.935958291,5.887740918,106.7630673,0.13555,0.61786,0.60264
377,649,125.3333333,5.083576364,2.936046385,5.886424999,106.8088218,0.13337,0.62546,0.64081
378,650.3,125.6666667,5.082552373,2.936484018,5.887028247,106.7389547,0.13558,0.63063,0.62254
379,650,126,5.082629638,2.934427729,5.891023351,106.8204394,0.19738,0.62923,0.95759
380,650,126.3333333,5.081601937,2.93586934,5.883568873,106.7475374,0.16657,0.70252,0.58792
381,650,126.6666667,5.083354779,2.934329642,5.888763665,106.7727752,0.14454,0.60742,0.68501
382,649.6,127,5.08254019,2.935266747,5.889336308,106.9889666,0.16885,0.4914,0.76925
383,650.6,127.3333333,5.094337661,2.942660066,5.897506657,107.042259,0.15035,0.48168,0.60124
384,649.4,127.6666667,5.081645496,2.933819507,5.886861706,106.7928353,0.18325,0.80871,0.6885
