'y-axis saved as y
'x,PKT-3-105-1_BMY2O3_2MnO2_FlowO2_650_24.raw,Diff,Bkg,Ycalc
14.3936931,779,-82.8866687,860.548035,861.886669
14.4141284,783,-73.5237717,855.140269,856.523772
14.4345637,805,-46.1949719,849.76429,851.194972
14.4549991,711,-134.900371,844.420039,845.900371
14.4754344,710,-130.640084,839.107455,840.640084
14.4958697,762,-73.4142397,833.826474,835.41424
14.516305,742,-88.2229857,828.577033,830.222986
14.5367403,710,-115.066487,823.359065,825.066487
14.5571756,711,-108.944929,818.172504,819.944929
14.577611,709,-105.858523,813.017284,814.858523
14.5980463,714,-95.8075049,807.893334,809.807505
14.6184816,726,-78.7921424,802.800584,804.792142
14.6389169,733,-66.8127391,797.738964,799.812739
14.6593522,740,-54.8696454,792.708401,794.869645
14.6797875,701,-88.9632765,787.708822,789.963276
14.7002229,737,-48.094142,782.740151,785.094142
14.7206582,706,-74.2629054,777.802314,780.262905
14.7410935,705,-70.4705351,772.895234,775.470535
14.7615288,617,-153.718773,768.018832,770.718773
14.7819641,720,-46.0109052,763.173031,766.010905
14.8023994,700,-61.3495137,758.357751,761.349514
14.8228348,703,-53.7289199,753.57291,756.72892
14.8432701,681,-71.1414683,748.818428,752.141468
14.8637054,690,-57.594893,744.09422,747.594893
14.8841407,651,-92.0931698,739.400205,743.09317
14.904576,622,-116.638098,734.736296,738.638098
14.9250113,624,-110.231565,730.10241,734.231565
14.9454467,669,-60.8757659,725.498459,729.875766
14.965882,647,-78.5732561,720.924356,725.573256
14.9863173,634,-87.3270286,716.380012,721.327029
15.0067526,663,-54.1406022,711.86534,717.140602
15.0271879,639,-74.0181347,707.380249,713.018135
15.0476232,597,-111.964564,702.924649,708.964564
15.0680586,637,-67.9857898,698.498447,704.98579
15.0884939,660,-41.0889001,694.101553,701.0889
15.1089292,627,-70.2824719,689.733872,697.282472
15.1293645,648,-45.5769557,685.395311,693.576956
15.1497998,597,-92.9851854,681.085775,689.985185
15.1702352,606,-80.523054,676.805169,686.523054
15.1906705,637,-46.2104235,672.553397,683.210423
15.2111058,659,-21.0723606,668.330363,680.072361
15.2315411,560,-117.140834,664.135968,677.140834
15.2519764,609,-65.4570577,659.970115,674.457058
15.2724117,630,-42.0747474,655.832704,672.074747
15.2928471,605,-65.0646618,651.723637,670.064662
15.3132824,643,-25.5209757,647.642813,668.520976
15.3337177,569,-98.5696569,643.590131,667.569657
15.354153,579,-88.3752499,639.565491,667.37525
15.3745883,556,-112.142196,635.568789,668.142196
15.3950236,593,-77.1255644,631.599924,670.125564
15.415459,599,-74.6400898,627.658793,673.64009
15.4358943,610,-69.0036738,623.74529,679.003674
15.4563296,597,-89.4492027,619.859313,686.449203
15.4767649,612,-83.9745902,616.000757,695.97459
15.4972002,656,-51.1846534,612.169515,707.184653
15.5176355,621,-98.2997673,608.365482,719.299767
15.5380709,681,-50.4955824,604.588552,731.495582
15.5585062,674,-69.3630697,600.838618,743.36307
15.5789415,722,-32.8577686,597.115572,754.857769
15.5993768,728,-37.4568783,593.419307,765.456878
15.6198121,755,-18.2033973,589.749713,773.203397
15.6402474,794,19.1875146,586.106683,774.812485
15.6606828,790,22.6330098,582.490107,767.36699
15.6811181,725,-25.4195604,578.899876,750.41956
15.7015534,709,-17.5012346,575.335879,726.501235
15.7219887,648,-51.6976863,571.798005,699.697686
15.742424,628,-45.7446567,568.286145,673.744657
15.7628593,598,-52.8904485,564.800186,650.890449
15.7832947,606,-25.8347467,561.340017,631.834747
15.80373,524,-92.3154368,557.905527,616.315437
15.8241653,556,-47.7169108,554.496602,603.716911
15.8446006,545,-48.4177791,551.11313,593.417779
15.8650359,553,-31.9176895,547.754998,584.917689
15.8854712,549,-28.8559542,544.422092,577.855954
15.9059066,511,-60.9941266,541.114299,571.994127
15.9263419,502,-65.1919584,537.831506,567.191958
15.9467772,550,-13.3831576,534.573597,563.383158
15.9672125,520,-40.5460664,531.340458,560.546066
15.9876478,539,-19.6571116,528.131974,558.657112
16.0080831,518,-39.6114753,524.94803,557.611475
16.0285185,512,-45.1084166,521.788512,557.108417
16.0489538,563,6.44775879,518.653302,556.552241
16.0693891,489,-66.1035851,515.542286,555.103585
16.0898244,513,-38.9952697,512.455348,551.99527
16.1102597,517,-29.9586989,509.392371,546.958699
16.130695,532,-8.37083791,506.353238,540.370838
16.1511304,481,-51.9983175,503.337834,532.998317
16.1715657,535,9.38698005,500.346041,525.61302
16.192001,516,-2.72981848,497.377742,518.729818
16.2124363,515,2.44937793,494.432821,512.550622
