'y-axis saved as y
'x,PKT-3-104-3_Y2Mn2O7_FlowO2_650_72.raw,Diff,Bkg,Ycalc
13.2084447,843,12.1807491,830.778956,830.819251
13.2288801,856,31.7728305,824.186607,824.22717
13.2493154,758,-59.6797486,817.638916,817.679749
13.2697507,753,-58.1768381,811.135733,811.176838
13.290186,808,3.28171277,804.676905,804.718287
13.3106213,823,24.6960555,798.262283,798.303945
13.3310566,752,-39.9336579,791.891714,791.933658
13.351492,703,-82.6072746,785.565044,785.607275
13.3719273,729,-50.3246411,779.282122,779.324641
13.3923626,735,-38.0856035,773.042791,773.085603
13.4127979,748,-18.8900069,766.846899,766.890007
13.4332332,795,34.2623039,760.694289,760.737696
13.4536685,720,-34.6285153,754.584805,754.628515
13.4741039,681,-67.5623079,748.518291,748.562308
13.4945392,680,-62.5389168,742.494589,742.538917
13.5149745,686,-50.5581846,736.513543,736.558185
13.5354098,679,-51.6199529,730.574993,730.619953
13.5558451,664,-60.7240631,724.678782,724.724063
13.5762804,704,-14.8703561,718.824749,718.870356
13.5967158,680,-33.058672,713.012735,713.058672
13.6171511,661,-46.2888507,707.24258,707.288851
13.6375864,623,-78.5607315,701.514122,701.560731
13.6580217,615,-80.8741532,695.827202,695.874153
13.678457,666,-24.2289542,690.181656,690.228954
13.6988923,653,-31.6249724,684.577323,684.624972
13.7193277,647,-32.0620453,679.01404,679.062045
13.739763,624,-49.54001,673.491644,673.54001
13.7601983,610,-58.0587031,668.009972,668.058703
13.7806336,590,-72.6179609,662.56886,662.617961
13.8010689,601,-56.2176194,657.168144,657.217619
13.8215042,567,-84.8575139,651.807659,651.857514
13.8419396,547,-99.5374795,646.487239,646.53748
13.8623749,586,-55.2573512,641.206721,641.257351
13.8828102,587,-49.0169633,635.965937,636.016963
13.9032455,553,-77.8161499,630.764723,630.81615
13.9236808,556,-69.6547449,625.602911,625.654745
13.9441161,608,-12.5325816,620.480336,620.532582
13.9645515,535,-80.4494932,615.396829,615.449493
13.9849868,520,-90.4053128,610.352224,610.405313
14.0054221,567,-38.3998728,605.346354,605.399873
14.0258574,532,-68.4330056,600.379051,600.433006
14.0462927,470,-125.504543,595.450146,595.504543
14.066728,516,-74.6143177,590.559471,590.614318
14.0871634,480,-105.762161,585.706857,585.762161
14.1075987,509,-71.9479032,580.892137,580.947903
14.128034,495,-81.1713767,576.115141,576.171377
14.1484693,471,-100.432412,571.375699,571.432412
14.1689046,486,-80.7308404,566.673643,566.73084
14.1893399,475,-87.0664934,562.008803,562.066493
14.2097753,449,-108.439211,557.381008,557.439211
14.2302106,465,-87.8488573,552.79009,552.848857
14.2506459,469,-79.2953642,548.235877,548.295364
14.2710812,451,-92.7788509,543.7182,543.778851
14.2915165,466,-73.3001139,539.236889,539.300114
14.3119518,453,-81.8612603,534.791772,534.86126
14.3323872,453,-77.4619281,530.38268,530.461928
14.3528225,456,-70.0945379,526.009441,526.094538
14.3732578,456,-65.7586093,521.671885,521.758609
14.3936931,413,-104.457346,517.36984,517.457346
14.4141284,425,-88.1913909,513.103135,513.191391
14.4345637,413,-95.9606175,508.871601,508.960618
14.4549991,430,-74.7648611,504.675064,504.764861
14.4754344,386,-114.604,500.513355,500.604
14.4958697,398,-98.4780792,496.386301,496.478079
14.516305,425,-67.3875697,492.293731,492.38757
14.5367403,404,-84.333823,488.235475,488.333823
14.5571756,415,-69.3199669,484.21136,484.319967
14.577611,432,-48.3529727,480.221215,480.352973
14.5980463,410,-66.4494435,476.264869,476.449444
14.6184816,355,-117.653266,472.342151,472.653266
14.6389169,414,-55.0500687,468.452888,469.050069
14.6593522,389,-76.6482527,464.596909,465.648253
14.6797875,379,-83.2012807,460.774044,462.201281
14.7002229,393,-65.5597629,456.984121,458.559763
14.7206582,406,-48.889949,453.226967,454.889949
14.7410935,379,-72.2557159,449.502413,451.255716
14.7615288,367,-80.6626273,445.810287,447.662627
14.7819641,332,-112.11299,442.150418,444.11299
14.8023994,375,-65.6109769,438.522634,440.610977
14.8228348,352,-85.1647343,434.926765,437.164734
14.8432701,374,-59.792107,431.36264,433.792107
14.8637054,369,-61.5380037,427.830087,430.538004
14.8841407,363,-64.4889441,424.328936,427.488944
14.904576,390,-34.6583809,420.859017,424.658381
14.9250113,349,-72.8138252,417.420159,421.813825
14.9454467,367,-51.8149019,414.012192,418.814902
14.965882,376,-39.8241894,410.634945,415.824189
14.9863173,341,-71.9085886,407.288247,412.908589
15.0067526,358,-52.0806945,403.97193,410.080695
